PERIODO_EVALUACION,PERIODO_VENTA,TIPO_PERIODO,FECHA_EVALUACION,VENTA_CANAL,VENTA_PDV_CODIGO,VENTA_PDV_DESC,VENTA_USUARIO,TIPO_PRODUCTO,SERVICIO,TIPO_VENTA_DES,NRO_SEC,ESTADO,NRO_PEDIDO,PEDIDO_ESTADO,CANTIDAD_LINEAS,FECHA_HORA_ENTREGA,NRO_SOT,SOT_ESTADO,UGIS,FECHA_INSTALACION,DEPARTAMENTO,PROVINCIA,DISTRITO,PACK_CHIP,EQUIPO_MARCA,EQUIPO_MODELO,CARGO_FIJO,PLAN_COMERCIAL,CAMPANA_APLICADA,OPERADOR_CEDENTE,TIPO_ENTREGA,DERIVACION_CANAL,DERIVACION_PDV_CODIGO,DERIVACION_PDV_DESC,ESTADO_ACTIVACION,VALIDACION_VENTA,MOTIVO_ASIGNACION,FECHA_ACTIVACION,ORIGEN_VTA_PDV,ORIGEN_VTA_PDV_DESC,CARGO_FIJO_ACTIVACION,SOCIO_LATAM,ORIGEN_CLIENTE,TIPO_COINCIDENCIA,TIPO_PAGO_ORIGEN
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8403731,MOVIL,PORTABILIDAD,POSTPAGO,97638438,APROBADO,127000939,PEDIDO ENTREGADO,1,15/09/2025 13:41,,,,,LIMA,LIMA,SAN MIGUEL,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8403731,MOVIL,PORTABILIDAD,POSTPAGO,97658699,APROBADO,,,1,,,,,,CALLAO,CALLAO,VENTANILLA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,NO DERIVADO,5PTW,RECUPERA_PORT_OUT,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8107577,MOVIL,PORTABILIDAD,POSTPAGO,97640167,APROBADO,127009161,PEDIDO ENTREGADO,1,15/09/2025 14:20,,,,,CAJAMARCA,HUALGAYOC,HUALGAYOC,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,PRESENCIAL,ACD,TEEO,TEMILI_CAJ,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415811,MOVIL,PORTABILIDAD,POSTPAGO,97638080,APROBADO,,,1,,,,,,LIMA,LIMA,LIMA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CADENA,SN65,CURACAO HUACHO_SN,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8406395,MOVIL,PORTABILIDAD,POSTPAGO,97641544,APROBADO,,,1,,,,,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,CADENA,JMCY,FOOD RETAIL LURIGANCHO2_SN,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR DOCUMENTO,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8401376,MOVIL,PORTABILIDAD,POSTPAGO,97645933,APROBADO,127010411,PEDIDO ENTREGADO,1,15/09/2025 16:08,,,,,LIMA,LIMA,EL AGUSTINO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,LATAM,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8403731,MOVIL,PORTABILIDAD,POSTPAGO,97650657,APROBADO,127017151,PEDIDO ENTREGADO,1,15/09/2025 17:12,,,,,LIMA,LIMA,SANTIAGO DE SURCO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,LATAM,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415752,MOVIL,PORTABILIDAD,POSTPAGO,97632442,APROBADO,126992709,PEDIDO ENTREGADO,1,15/09/2025 10:08,,,,,LIMA,LIMA,SAN MARTIN DE PORRES,CHIP,,,79.9,Max Negocios Ilimitado + 79.90,DTO PORTA NEGOCIOS,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,79.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8405239,MOVIL,PORTABILIDAD,POSTPAGO,97653256,APROBADO,127026955,PEDIDO ENTREGADO,1,15/09/2025 19:20,,,,,LIMA,LIMA,COMAS,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,PRESENCIAL,CADENA,5OH8,FOOD RETAIL COMAS_SN,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8414769,MOVIL,PORTABILIDAD,POSTPAGO,97633529,APROBADO,127046035,PEDIDO ENTREGADO,1,16/09/2025 12:52,,,,ENTREGADO,AREQUIPA,CAYLLOMA,MAJES,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,CADENA,MX06,ESTILOS PEDREGAL,VENTA ENTREGADA,,,,,,,,FUERA DE BASE,FUERA DE BASE,PREPAGO
